restaurantName,restaurantAddress,restaurantPostalCode,phoneNumber
Gardens & Fields Restaurant,"925 Airport Road Peterborough, ON K0L 1V0 Canada",K0L1V0,+1 705-775-6456
The Monaghan Café,"1017 Monaghan Road Peterborough, ON K9J 5K9 Canada",K9J5K9,+1 705-743-4800
Mary Brown's Fried Chicken and Taters,"1550 Lansdowne Street Peterborough, ON K9J Canada",K9J,+1 705-874-0384
Harvey's,"250 Water St Peterborough, ON K9J 3C6 Canada",K9J3C6,+1 705-743-6986
Long Island Fish & Chips,"1789 Stenson Boulevard Peterborough, ON K9K 2H4 Canada",K9K2H4,+1 705-876-6767
Free Topping Pizza,"189 Simcoe Street Peterborough, ON K9H 2H6 Canada",K9H2H6,+1 705-743-2225
Little Caesars,"816 Chemong Rd Peterborough, ON K9H 5Z6 Canada",K9H5Z6,+1 705-749-9989
Domino's Pizza,"116 Parkhill Road E Peterborough, ON K9H 1R1 Canada",K9H1R1,+1 705-745-5730
Wimpy's Diner,"1080 Lansdowne St. West Peterborough, ON K9J 1Z9 Canada",K9J1Z9,+1 705-748-3222
Sippin Dip Restaurant & Bakery,"1500 Yankee Line Bridgenorth, ON K0L 1T0 Canada",K0L1T0,+1 705-292-0292
On The Rocks Bar & Grill,"447 Tara Road Ennismore, ON K0L 1T0 Canada",K0L1T0,+1 705-292-0019
Brick House Craft Burger,"123 Simcoe Street Peterborough, ON K9H 2H3 Canada",K9H2H3,+1 705-874-7474
Mucho Burrito Peterborough,"867 Lansdowne Street W Peterborough, ON K9J 1Z8 Canada",K9J1Z8,+1 705-745-5959
Ricky's All Day Grill Peterborough,"898 Monaghan Road Unit 4b Peterborough, ON K9J 5K4",K9J5K4,+1 705-749-1100
Arby's Roast Beef Restaurant,"1165 Lansdowne Street W Peterborough, ON K9J 7M2 Canada",K9J7M2,+1 705-748-0250
Dairy Queen Grill & Chill,"717 Lansdowne St W Peterborough, ON K9J 1Z2 Canada",K9J1Z2,+1 705-749-0617
Red Lobster,"870 Lansdowne Street W. Peterborough, ON K9J 1Z7 Canada",K9J1Z7,+1 705-876-1840
YoYo's Yogurt Cafe,"188 Hunter Street W Unit 8 Peterborough, ON K9H 2L2",K9H2L2,+1 705-742-0707
Little Caesars,"1079 Clonsilla Avenue Peterborough, ON K9J 5Y6 Canada",K9J5Y6,+1 705-741-4774
Sophia's,"724 Water Street Peterborough, ON K9H 3N3 Canada",K9H3N3,+1 705-741-1911
Bualai Taste Of Thai,"195 Simcoe Street Peterborough, ON K9H 2H6 Canada",K9H2H6,+1 705-743-9799
Wild Wing,"501 Towerhill Road Peterborough, ON K9H 7S3 Canada",K9H7S3,+1 705-745-9464
Wendy's,"1124 Chemong Road Rr #1 Peterborough, ON K9J 6X2",K9J6X2,+1 705-745-7629
A&W,"1063 Chemong Road Peterborough, ON K9H 7R8 Canada",K9H7R8,+1 705-874-0422
Pete's Subs & Burgers,"441 George Street N Peterborough, ON K9H 3R6 Canada",K9H3R6,+1 705-742-1588
Pizza Pizza,"91 George Street N Unit 8 Peterborough, ON K9J 3G3",K9J3G3,+1 705-749-1111
Boston Pizza,"1164 Chemong Road Peterborough, ON K9J 6X2 Canada",K9J6X2,+1 705-742-6464
Daisy Restaurant,"1200 Lansdowne Street W Peterborough, ON K9J 2A1 Canada",K9J2A1,+1 705-876-8678
PJ's Diner,"809D Chemong Road Peterborough, ON K9H 5Z5 Canada",K9H5Z5,+1 705-874-3463
McDonald's,"1002 Chemong Road Peterborough, ON K9H 7E3 Canada",K9H7E3,+1 705-876-8194
Swiss Chalet Rotisserie & Grill,"933 Lansdowne Ave W Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 705-745-5577
Boston Pizza,"821 Rye St Peterborough, ON K9J 6X1 Canada",K9J6X1,+1 705-740-2775
Pizza Hut,"705 George Street N Peterborough, ON K9H 3T1 Canada",K9H3T1,+1 705-741-4141
South china buffet,"901 Lansdowne Street Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 705-741-3338
McDonald's,"400 Lansdowne Street East Peterborough, ON K9J 6X9 Canada",K9J6X9,+1 705-741-2887
McDonald's,"978 Lansdowne St. Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 705-743-6731
Nicholl's Oval Restaurant,"116 Parkhill Road E Peterborough, ON K9H 1R1 Canada",K9H1R1,+1 705-749-0001
Papa John's Pizza,"947 Lansdowne Street West Peterborough, ON K9J 8N2 Canada",K9J8N2,+1 705-876-7272
Popeyes Louisiana Kitchen,"861 Lansdowne Street W Peterborough, ON K9J 1Z7 Canada",K9J1Z7,+1 705-749-0055
McDonald's,"1043 Chemong Rd. N. Peterborough, ON K9H 7E6 Canada",K9H7E6,+1 705-748-3721
KFC,"786 Chemong Road Peterborough, ON K9H 5Z3 Canada",K9H5Z3,+1 705-742-2519
Pizza Pizza,"871 Chemong Road Peterborough, ON K9H 5Z5 Canada",K9H5Z5,+1 705-749-1111
Burger King,"750 Lansdowne Street W Peterborough, ON K9J 1Z3 Canada",K9J1Z3,+1 705-748-2020
Dairy Queen,"154 Lansdowne St E Peterborough, ON K9J 7N9 Canada",K9J7N9,+1 705-742-8541
Bo Pizza,"2695 Marsdale Rd Peterborough, ON K9L 1Y4 Canada",K9L1Y4,+1 705-749-3600
Swiss Chalet Rotisserie & Grill,"501 Towerhill Rd Peterborough, ON K9H 7S3 Canada",K9H7S3,+1 705-745-7997
Pizza Hut,"901 Lansdowne St W Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 705-741-4141
Country Style Donuts,"2205 Keene Road Peterborough, ON K9J 6X7 Canada",K9J6X7,+1 705-741-2222
Taco Bell,"645 Lansdowne Street W Peterborough, ON K9J 7C5 Canada",K9J7C5,+1 705-740-2700
Mr Sub,"836 Lansdowne Street W Peterborough, ON K9J 1Z6 Canada",K9J1Z6,+1 705-745-7391
Pizza Nova,"908 Lansdowne Street West Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 416-439-0000
A&W,"947 Lansdowne Street W Peterborough, ON K9J 1Z5 Canada",K9J1Z5,+1 705-876-8443
Harvey's,"1040 Lansdowne St W Peterborough, ON K9J 1Z9 Canada",K9J1Z9,+1 705-741-3250
Corner Cafe Makin Bacon All Day,"833 Chemong Road Peterborough, ON K9H 5Z5 Canada",K9H5Z5,+1 705-775-7005
Domino's Pizza,"550 Lansdowne Street W Peterborough, ON K9J 8J8 Canada",K9J8J8,+1 705-741-1122
Subway,"400 Lansdowne Street E Peterborough, ON K9L 0B2 Canada",K9L0B2,+1 705-748-3111
Lori's,"597 Monaghan Rd Peterborough, ON K9J 5J1 Canada",K9J5J1,+1 705-775-0595
Pita Pit,"7 - 999 Lansdowne Street Peterborough, ON K9J 1Z9 Canada",K9J1Z9,+1 705-743-7482
Tim Hortons,"1781 Lansdowne Street W Peterborough, ON K9K 2T4 Canada",K9K2T4,+1 705-748-6777
Pizza Pizza,"866 Ward Street Bridgenorth, ON K0L 1H0 Canada",K0L1H0,+1 705-292-1222
